wave (um), F062, F087, F106, F129, F146, F158, F184, F213
1.617,0,0,0,0,2.9359,2.9359,0.0011,0
1.618,0,0,0,0,2.9367,2.9367,0.0013,0
1.619,0,0,0,0,2.9373,2.9373,0.0016,0
1.62,0,0,0,0,2.9383,2.9383,0.0019,0
1.621,0,0,0,0,2.9399,2.9399,0.0023,0
1.622,0,0,0,0,2.9414,2.9414,0.0027,0
1.623,0,0,0,0,2.9424,2.9424,0.0032,0
1.624,0,0,0,0,2.9431,2.9431,0.0038,0
1.625,0,0,0,0,2.9439,2.9439,0.0045,0
1.626,0,0,0,0,2.9448,2.9448,0.0053,0
1.627,0,0,0,0,2.9455,2.9455,0.0062,0
1.628,0,0,0,0,2.9464,2.9464,0.0072,0
1.629,0,0,0,0,2.948,2.948,0.0085,0
1.63,0,0,0,0,2.9496,2.9496,0.0099,0
1.631,0,0,0,0,2.9506,2.9506,0.0115,0
1.632,0,0,0,0,2.9513,2.9513,0.0133,0
1.633,0,0,0,0,2.952,2.952,0.0154,0
1.634,0,0,0,0,2.9529,2.9529,0.0178,0
1.635,0,0,0,0,2.9537,2.9537,0.0205,0
1.636,0,0,0,0,2.9545,2.9545,0.0236,0
1.637,0,0,0,0,2.9553,2.9553,0.0271,0
1.638,0,0,0,0,2.9561,2.9561,0.031,0
1.639,0,0,0,0,2.9568,2.9568,0.0354,0
1.64,0,0,0,0,2.9576,2.9576,0.0403,0
1.641,0,0,0,0,2.9584,2.9584,0.0458,0
1.642,0,0,0,0,2.9591,2.9591,0.0519,0
